id,cr,state
779,18800,limited
3356,36200,soldout
48,107900,normal
1527,13300,normal
810,46800,soldout
204,52800,normal
1044,45100,normal
3454,143500,limited
829,104800,normal
201,27000,normal
3385,217900,normal
3471,73800,normal
514,106400,soldout
709,52400,soldout
533,487300,soldout
688,58600,limited
3443,166800,normal
1508,179700,limited
3384,45300,normal
3344,164600,normal
82,194400,normal
3359,140100,normal
1458,34300,normal
489,160400,limited
1545,315500,normal
1528,499700,limited
1410,302500,normal
396,440200,limited
293,388400,normal
1402,114400,normal
