id,cr,state,daysremaining
3573,30000,limited,-1
51,35000,limited,-1
204,55200,normal,8
1385,12000,normal,5
810,53200,normal,12
3356,38100,normal,4
1985,82700,normal,5
3530,171300,new,11
1796,129600,normal,6
3442,28200,normal,10
145,14400,limited,2
3403,49400,normal,7
931,80900,normal,8
3453,75100,limited,2
514,98400,new,9
451,163100,limited,3
3344,165000,normal,6
203,55800,new,9
3551,78600,new,14
3466,196400,limited,2
1773,38100,normal,6
3432,42300,normal,9
1399,77600,soldout,1
489,161000,normal,6
1378,209600,normal,4
3439,217200,new,8
3389,61100,soldout,1
1578,294800,normal,8
3524,386700,normal,5
187,75900,normal,4
1528,512200,normal,8
205,216400,normal,6
