id,cr,state
201,27000,normal
1933,24400,normal
1044,45100,limited
137,15900,limited
1461,56800,limited
1527,13300,limited
3422,203800,normal
1796,131000,normal
1778,35100,normal
829,104800,limited
301,39600,limited
203,62200,normal
773,178600,normal
1729,36100,normal
334,89600,normal
374,57100,normal
211,80100,limited
1027,450400,normal
843,107700,limited
959,51800,normal
3398,774000,normal
3434,396800,normal
3404,444900,normal
1399,70500,normal
1689,114900,limited
3358,155200,normal
1893,258300,limited
1539,146400,normal
1504,242500,normal
210,389400,limited
