id,cr,state,daysremaining
3603,14000,normal,-1
3603,14000,normal,-1
3603,14000,normal,-1
3549,48600,limited,2
145,14300,new,9
1973,23500,limited,2
1796,137300,normal,9
1044,43800,normal,5
821,57000,limited,3
1527,12500,normal,4
1385,12900,new,10
63,50200,limited,2
3356,42800,normal,5
3471,65500,normal,4
1027,462300,normal,7
104,84800,limited,3
3443,178300,normal,6
51,26200,normal,4
959,49800,normal,8
1508,165200,soldout,1
24,49700,normal,8
533,539800,limited,3
3555,128900,limited,2
3358,158500,limited,3
1541,61200,new,9
1458,32900,normal,5
1504,254300,soldout,1
1426,398300,normal,9
799,69200,limited,2
3359,141900,limited,3
1384,28000,normal,5
396,431500,new,10
1545,316200,limited,2
