id,cr,state,daysremaining
3466,200000,normal,-1
78,60000,normal,-1
1973,25200,limited,2
1385,12300,new,9
1523,15500,normal,7
1671,59900,normal,5
810,51300,normal,8
3513,47800,normal,5
3403,44900,limited,3
1985,81100,limited,2
63,57000,soldout,1
1537,19400,normal,5
203,67300,normal,5
773,179800,normal,5
374,58900,normal,9
211,73400,limited,3
3385,220600,soldout,1
1729,39500,normal,5
301,44800,limited,3
1027,436900,normal,6
334,76900,normal,8
843,105400,limited,3
1578,285000,limited,2
1528,517600,new,9
205,215600,soldout,1
942,77700,normal,4
1365,146100,normal,6
396,432300,normal,8
1990,789300,limited,2
489,160300,normal,9
1480,106700,normal,5
345,98700,normal,5
