id,cr,state
779,20000,normal
1671,67000,soldout
1523,18800,limited
810,52100,normal
1385,12000,limited
145,13000,soldout
204,46800,soldout
1044,45100,normal
3356,39300,limited
48,99100,limited
3454,138400,limited
3443,169000,limited
709,51000,limited
533,495100,limited
688,57700,normal
203,61700,normal
514,99100,soldout
211,75800,limited
843,113600,limited
773,171200,normal
301,49400,soldout
1545,315800,soldout
3359,142500,normal
1402,113900,limited
1689,113800,soldout
3358,155400,normal
1504,252200,normal
210,388000,limited
3398,777000,limited
1893,267200,soldout
3404,437300,limited
