id,cr,state
1523,16000,soldout
810,46800,limited
1044,45100,normal
1385,12000,soldout
3356,36200,soldout
1527,13300,normal
779,18800,soldout
3454,143500,soldout
48,107900,soldout
829,104800,normal
709,52400,soldout
533,487300,soldout
773,178600,normal
688,58600,limited
1508,179700,limited
3344,164600,limited
211,80100,normal
3443,166800,soldout
843,107700,normal
3385,217900,limited
1528,499700,soldout
1373,102900,normal
3359,140100,limited
1410,302500,limited
1689,114900,normal
3358,155200,normal
293,388400,soldout
1402,114400,limited
1504,242500,normal
210,389400,normal
