manufacturer,name,cr,state
Mini,Mini-Cooper 'S' '65,38000,normal
Renault,R5 Turbo '80,154200,limited
Alfa Romeo,MiTo '09,25600,limited
Volkswagen,Volkswagen 1200 '66,32700,limited
Abarth,Abarth 595 SS '70,48900,normal
Alpine,A110 '72,140000,soldout
Toyota,Celica GT-Four (ST205) '94,78600,limited
Mitsubishi,Lancer Evolution VI GSR T.M. SCP '99,162400,normal
Honda,Integra Type R (DC2) '95,67300,normal
Porsche,911 Turbo (930) '81,215500,limited
AMG,SLS AMG '10,316900,soldout
Porsche,911 GT3 (997) '09,142400,normal
Ferrari,458 Italia '09,249800,normal
Honda,Civic Type R (EK) Touring Car,116600,normal
Porsche,911 GT3 (996) '01,157600,normal
