manufacturer,name,cr,state
Mini,Mini-Cooper 'S' '65,38000,normal
Renault,R5 Turbo '80,154200,limited
Alfa Romeo,MiTo '09,25600,limited
Volkswagen,Volkswagen 1200 '66,32700,soldout
Abarth,Abarth 595 SS '70,48900,normal
Honda,Civic Type R (EK) '97,51200,normal
Toyota,Celica GT-Four (ST205) '94,78600,soldout
Mitsubishi,Lancer Evolution VI GSR T.M. SCP '99,162400,limited
Honda,Integra Type R (DC2) '95,67300,normal
Porsche,911 Turbo (930) '81,215500,limited
Nissan,R34 GT-R V-spec II Nur '02,396900,normal
Porsche,911 GT3 (997) '09,142400,limited
Ferrari,458 Italia '09,249800,normal
Honda,Civic Type R (EK) Touring Car,116600,limited
Porsche,911 GT3 (996) '01,157600,normal
