id,cr,state
173,154500,normal
3438,51900,normal
1933,24400,limited
821,51800,normal
135,45800,normal
3442,31000,normal
919,29600,normal
1985,83400,normal
63,58100,normal
1778,35100,soldout
334,75700,soldout
374,61100,soldout
959,41600,soldout
3453,83000,soldout
379,57100,normal
3377,63200,normal
451,171600,soldout
104,76400,normal
3344,166900,normal
24,58300,normal
1578,301900,normal
1378,202000,limited
3389,62100,limited
1373,106600,normal
1722,185000,soldout
942,90800,normal
1990,772200,normal
3439,215600,limited
205,222700,normal
187,69200,soldout
