id,cr,state
137,15000,normal
1461,51200,normal
810,48200,soldout
1796,133800,normal
3422,218400,normal
48,99100,normal
1044,51000,normal
1527,13900,limited
829,107900,limited
201,28400,soldout
1027,450400,soldout
24,53500,normal
334,89600,soldout
3453,89700,normal
959,47100,soldout
374,50700,soldout
451,179700,normal
41,53300,limited
207,57400,limited
379,53800,limited
187,72000,soldout
1378,202000,limited
3389,62600,soldout
1722,184500,limited
3431,225100,limited
3439,224700,normal
1373,103000,limited
205,217700,limited
1578,289200,normal
1990,817300,normal
