id,cr,state
1523,15100,normal
810,52100,normal
1537,20800,normal
1385,12000,normal
3356,40900,normal
145,13000,normal
1671,57100,limited
3454,143000,normal
48,107900,normal
204,48900,normal
709,53500,normal
533,494700,normal
514,100800,normal
688,54300,normal
1508,165000,normal
1773,42200,limited
3471,77500,limited
3443,174000,normal
3384,48000,normal
3385,214300,normal
1528,523400,normal
1481,688700,normal
3359,143300,normal
1410,289300,normal
1545,339500,normal
1458,36700,normal
293,388700,normal
489,157700,soldout
82,180100,limited
1507,323500,normal
