manufacturer,name,cr,state
Mini,Mini-Cooper 'S' '65,38000,normal
Renault,R5 Turbo '80,154200,soldout
Alfa Romeo,MiTo '09,25600,soldout
Nissan,Silvia Q's (S13) '88,33900,normal
Abarth,Abarth 595 SS '70,48900,normal
Honda,Civic Type R (EK) '97,51200,normal
Mitsubishi,Lancer Evolution V GSR '98,67100,normal 
Mitsubishi,Lancer Evolution VI GSR T.M. SCP '99,162400,limited
Honda,Integra Type R (DC2) '95,67300,normal
Porsche,911 Turbo (930) '81,215500,soldout
Nissan,R34 GT-R V-spec II Nur '02,396900,normal
Porsche,911 GT3 (997) '09,142400,limited
Ferrari,458 Italia '09,249800,normal
Honda,Civic Type R (EK) Touring Car,116600,limited
Porsche,911 GT3 (996) '01,157600,normal
