id,cr,state,daysremaining
48,107800,normal,9
829,104400,limited,2
3530,164900,normal,4
3564,53500,normal,4
37,54700,normal,9
1523,18300,normal,5
3454,139300,normal,10
3438,47000,normal,5
1461,50700,normal,9
1933,21200,normal,8
931,84600,normal,7
41,62000,soldout,1
514,98700,new,9
1448,59800,soldout,1
1773,38600,normal,7
3466,183500,normal,4
451,164100,normal,5
3453,73100,limited,2
3432,41100,normal,9
3344,162800,normal,5
345,103100,new,11
1378,206600,limited,2
1480,106000,normal,9
187,76700,limited,3
3524,397700,limited,3
489,155800,limited,3
3424,94400,normal,8
1578,286800,new,8
1528,505500,normal,5
205,216900,normal,5
