id,cr,state
201,27000,soldout
1933,24400,limited
173,154500,normal
3438,51900,normal
821,51800,normal
919,29600,normal
3442,31000,normal
1985,83400,normal
1778,35100,soldout
135,45800,normal
3453,76400,normal
207,58900,normal
379,50700,normal
24,48900,normal
334,89600,limited
374,57100,limited
451,169000,normal
1027,450400,soldout
41,55000,normal
959,51800,limited
1378,201300,normal
3434,396800,normal
3404,444900,soldout
1399,70500,soldout
1384,29900,normal
3389,62900,normal
1426,393900,normal
1722,198400,normal
3431,221200,normal
187,82200,normal
