id,cr,state,daysremaining
3356,37900,normal,7
145,16000,normal,6
1385,12900,normal,4
779,17500,normal,7
821,54600,new,8
3454,150000,normal,7
810,48200,normal,4
1537,19300,soldout,1
829,99900,new,10
1523,16700,soldout,1
1773,45000,normal,4
3384,39700,normal,6
211,73400,new,10
3385,224700,normal,9
3344,162000,normal,7
3471,74700,normal,4
533,505900,soldout,1
1370,21500,limited,2
3443,171600,normal,7
1895,358000,limited,2
3434,366500,soldout,1
3404,415400,limited,3
1426,411600,limited,2
1384,26800,limited,2
1399,79400,normal,6
3389,72500,normal,9
3431,218200,new,8
3439,211300,new,6
1378,200000,normal,5
187,72000,normal,6
