id,cr,state
63,58100,limited
3403,49300,soldout
1671,57400,normal
1523,16000,normal
810,46800,normal
1523,17600,normal
1537,19600,normal
1985,83400,limited
1385,12000,normal
135,45800,soldout
1895,352300,normal
1370,24500,normal
379,50700,limited
24,48900,soldout
3377,67800,soldout
1448,59800,limited
1773,45400,normal
104,89900,limited
3341,165000,normal
1542,47300,limited
1378,201300,limited
1578,286600,normal
345,104300,normal
205,215800,limited
942,79300,normal
3389,62900,limited
1990,828800,normal
1722,198400,soldout
1480,107700,normal
187,82200,soldout
