id,cr,state,daysremaining
3563,61600,normal,-1
293,450000,normal,-1
293,450000,normal,-1
1385,12800,normal,7
3356,39300,normal,10
3403,43700,normal,4
1796,132600,normal,7
145,13300,normal,5
3513,53600,normal,7
1044,51400,soldout,1
821,51900,soldout,1
1527,13800,limited,2
810,58200,new,7
1773,37500,new,10
3453,76900,limited,2
959,44100,soldout,1
207,52600,normal,4
688,67400,normal,7
3341,174800,normal,6
1448,59800,normal,6
451,174200,soldout,1
3344,165000,new,10
41,51700,normal,4
1541,67600,normal,5
1378,207400,limited,3
3524,393800,normal,5
396,440400,normal,8
1399,70200,normal,5
1544,363500,normal,8
187,70100,limited,2
3431,220000,normal,4
3389,72700,normal,6
1373,106400,normal,9
