id,cr,state
1689,116600,normal
1523,15100,limited
810,52100,limited
1044,45100,normal
1385,12000,limited
3356,40900,limited
145,13000,soldout
779,18800,limited
3454,143000,limited
48,107900,limited
204,48900,soldout
709,53500,limited
533,494700,limited
514,100800,soldout
688,54300,limited
1508,165000,limited
3344,164600,limited
211,80100,normal
3443,174000,limited
843,107700,normal
3385,214300,limited
1528,523400,limited
1373,102900,normal
3359,143300,limited
1410,289300,limited
1545,339500,soldout
1458,36700,soldout
293,388700,limited
1402,112600,limited
82,180100,soldout
1507,323500,soldout
