id,cr,state
779,20000,normal
1671,67000,normal
1523,18800,normal
1973,23300,soldout
63,48200,soldout
1985,87800,soldout
204,46800,normal
1537,18600,normal
3356,39300,normal
3403,43700,soldout
3454,138400,limited
3443,169000,limited
3385,219700,soldout
1508,179700,soldout
688,57700,normal
3384,45000,normal
514,99100,limited
211,75800,normal
843,113600,normal
773,171200,normal
301,49400,limited
1507,319800,soldout
3359,142500,limited
1402,113900,normal
1689,113800,limited
3358,155400,normal
1504,252200,normal
210,388000,normal
3398,777000,normal
1893,267200,normal
3404,437300,normal
