id,cr,state
173,154500,soldout
3438,51900,limited
3403,49300,limited
821,51800,limited
135,45800,limited
3442,31000,limited
1671,57100,normal
1985,83400,normal
63,58100,limited
1973,23200,limited
1448,60200,limited
1542,47000,normal
3341,165200,normal
1895,359900,normal
379,57100,limited
3377,63200,soldout
1370,24100,limited
104,76400,limited
3344,166900,normal
24,58300,soldout
1578,301900,limited
1365,145800,normal
396,445400,normal
1410,289300,normal
345,99300,normal
942,90800,limited
1990,772200,limited
489,157700,normal
205,222700,soldout
1480,98900,limited
