id,cr,state,daysremaining
41,71500,limited,-1
41,71500,limited,-1
3564,70000,normal,-1
3564,70000,normal,-1
3564,70000,normal,-1
1385,14600,new,10
3403,41000,new,8
1985,96000,normal,10
1973,26400,limited,2
145,14000,normal,9
3549,46600,soldout,1
63,51200,limited,2
1044,45900,normal,6
1527,12700,normal,5
3384,45000,soldout,1
1895,352300,soldout,1
1542,53800,normal,5
1508,163600,normal,9
104,75200,new,11
533,505300,normal,11
773,176500,limited,3
3377,70600,limited,2
102,166500,limited,3
301,44200,limited,3
1402,114000,limited,2
293,385600,normal,5
1689,117000,limited,2
1506,253400,normal,4
799,62400,normal,8
1480,107400,normal,4
3359,139900,normal,8
1504,243100,normal,5
1365,144600,normal,4
3358,158500,normal,7
