id,cr,state
779,18800,limited
3356,36200,limited
48,107900,normal
1523,16000,soldout
810,46800,limited
204,52800,normal
1044,45100,normal
3454,143500,limited
1385,12000,soldout
145,13500,soldout
1895,352300,soldout
3471,73800,normal
514,106400,limited
709,52400,limited
533,487300,limited
688,58600,normal
3443,166800,normal
1508,179700,normal
3384,45300,normal
3344,164600,normal
1481,692400,soldout
3359,140100,normal
1458,34300,normal
489,160400,normal
1545,315500,normal
1528,499700,limited
1410,302500,normal
396,440200,limited
293,388400,normal
1402,114400,normal
