manufacturer,name,cr,state
Honda,S800 '66,44800,limited
Autobianchi,A112 Abarth '85,31100,soldout
Toyota,Corolla Levin 1600GT APEX (AE86) '83,47400,normal
Pontiac,Firebird Trans Am '78,96200,normal
Abarth,Abarth 500 '09,21700,normal
Mitsubishi,Lancer Evolution V GSR '98,67100,limited
Honda,S2000 '99,100100,limited
Mitsubishi,Lancer Evolution IV GSR '96,45300,limited
Toyota,Supra 3.0GT Turbo A '88,109600,normal
Nissan,R32 GT-R V-spec II '94,176000,limited
RUF,CTR3 '07,792100,normal
BMW,Z8 '01,257700,limited
Dodge,Viper SRT10 Coupe '06,112200,normal
Porsche,911 Carrera RS CS (993) '95,421000,limited
Lamborghini,Murcielago LP 640 '09,340800,normal
