id,cr,state
779,18800,normal
3356,36200,normal
1671,57400,soldout
1523,16000,limited
810,46800,normal
1523,17600,soldout
1537,19600,soldout
3454,143500,normal
1385,12000,limited
145,13500,limited
1895,352300,limited
1370,24500,soldout
514,106400,normal
709,52400,normal
533,487300,normal
688,58600,normal
1773,45400,soldout
1508,179700,normal
3341,165000,limited
3344,164600,normal
1481,692400,limited
3359,140100,normal
345,104300,limited
489,160400,normal
942,79300,soldout
1528,499700,normal
1410,302500,normal
396,440200,normal
1480,107700,limited
1365,143600,limited
