id,cr,state
137,15000,limited
1461,51200,normal
1778,31900,normal
1796,133800,normal
3422,218400,normal
48,99100,limited
1044,51000,limited
1527,13900,soldout
173,146700,normal
1933,24900,normal
104,78600,normal
24,53500,normal
3377,71200,normal
3453,89700,limited
1448,60700,normal
3344,165700,normal
451,179700,limited
41,53300,soldout
1542,46800,normal
379,53800,soldout
942,91100,normal
1480,97800,normal
345,99000,normal
396,430100,normal
3431,225100,soldout
3439,224700,limited
1373,103000,soldout
1365,137500,normal
1578,289200,limited
1990,817300,limited
