manufacturer,name,cr,state
Honda,S800 '66,44800,soldout
Volkswagen,Golf I GTI '83,48300,normal
Toyota,Corolla Levin 1600GT APEX (AE86) '83,47400,normal
Pontiac,Firebird Trans Am '78,96200,normal
Abarth,Abarth 500 '09,21700,normal
Mitsubishi,GTO Twin Turbo '91,48900,normal
Nissan,Fairlady Z 300ZX TT 2seater '89,52900,normal
Mitsubishi,Lancer Evolution IV GSR '96,45300,soldout
Toyota,Supra 3.0GT Turbo A '88,109600,normal
Nissan,R32 GT-R V-spec II '94,176000,soldout
RUF,CTR3 '07,792100,normal
BMW,M3 '07,69800,normal
Dodge,Viper SRT10 Coupe '06,112200,normal
Porsche,911 Carrera RS CS (993) '95,421000,soldout
Lamborghini,Murcielago LP 640 '09,340800,normal
