id,cr,state,daysremaining
1537,19300,new,7
1523,16700,normal,8
3513,47900,normal,6
63,47900,limited,3
1973,25900,limited,3
1985,80300,limited,3
135,46300,soldout,1
3403,47100,limited,3
1671,61200,normal,5
810,48200,normal,9
688,61500,normal,10
3377,66400,soldout,1
3466,180400,normal,6
1448,60700,normal,4
1508,172300,new,10
24,49900,normal,8
1542,50700,normal,9
514,107800,normal,7
709,52400,normal,7
3341,164600,normal,7
3358,157600,limited,3
1402,112200,normal,5
1507,316800,normal,6
210,401300,normal,7
1893,258100,new,10
1539,136600,normal,5
1504,246500,normal,5
1373,105800,soldout,1
3398,772000,normal,8
1689,115600,normal,6
