manufacturer,name,cr,state
Mini,Mini-Cooper 'S' '65,38000,limited
Honda,S800 '66,44800,normal
Autobianchi,A112 Abarth '85,31100,normal
Nissan,Silvia Q's (S13) '88,33900,normal
Abarth,Abarth 595 SS '70,48900,normal
Honda,Civic Type R (EK) '97,51200,normal
Mitsubishi,Lancer Evolution V GSR '98,67100,normal 
Mitsubishi,Lancer Evolution VI GSR T.M. SCP '99,162400,soldout
Honda,Integra Type R (DC2) '95,67300,normal
Nissan,R32 GT-R V-spec II '94,176000,normal
Nissan,R34 GT-R V-spec II Nur '02,396900,normal
Porsche,911 GT3 (997) '09,142400,soldout
Ferrari,458 Italia '09,249800,normal
Honda,Civic Type R (EK) Touring Car,116600,soldout
Porsche,911 GT3 (996) '01,157600,normal
