manufacturer,name,cr,state
BMW,3.0 CSL '71,146700,normal
Volkswagen,Golf I GTI '83,48300,limited
Toyota,Corolla Levin 1600GT APEX (AE86) '83,47400,normal
Pontiac,Firebird Trans Am '78,96200,limited
Abarth,Abarth 500 '09,21700,limited
Mitsubishi,GTO Twin Turbo '91,48900,normal
Nissan,Fairlady Z 300ZX TT 2seater '89,52900,normal
Lancia,Stratos '73,532100,normal
Toyota,Supra 3.0GT Turbo A '88,109600,limited
Honda,Integra Type R (DC2) '98,54000,normal
RUF,CTR3 '07,792100,normal
BMW,M3 '07,69800,normal
Dodge,Viper SRT10 Coupe '06,112200,normal
Maserati,GranTurismo S '08,136200,normal
Lamborghini,Murcielago LP 640 '09,340800,limited
