id,cr,state
137,15000,normal
1461,51200,normal
1778,31900,normal
1796,133800,normal
3422,218400,normal
48,99100,normal
1044,51000,limited
1527,13900,limited
829,107900,soldout
1933,24900,normal
104,78600,normal
24,53500,normal
3377,71200,normal
3453,89700,normal
1448,60700,normal
3344,165700,normal
451,179700,limited
41,53300,limited
207,57400,soldout
379,53800,limited
942,91100,normal
1378,202000,soldout
345,99000,normal
1722,184500,soldout
3431,225100,limited
3439,224700,limited
1373,103000,limited
205,217700,soldout
1578,289200,limited
1990,817300,normal
