id,cr,state
63,58100,normal
3403,49300,normal
173,154500,limited
3438,51900,limited
821,51800,limited
919,29600,soldout
3442,31000,limited
1985,83400,normal
1973,23200,limited
135,45800,normal
3453,76400,limited
207,58900,limited
379,50700,normal
24,48900,normal
3377,67800,normal
1448,59800,normal
451,169000,limited
104,89900,normal
41,55000,soldout
1542,47300,normal
1378,201300,normal
1578,286600,normal
3439,221700,limited
205,215800,normal
1384,29900,soldout
3389,62900,normal
1990,828800,normal
1722,198400,normal
3431,221200,limited
187,82200,normal
