id,cr,state
1671,67000,normal
3442,31100,soldout
1973,23300,normal
63,48200,normal
1985,87800,normal
135,47300,limited
821,57000,soldout
3356,39300,normal
3403,43700,normal
3454,138400,normal
3443,169000,normal
3385,219700,normal
1508,179700,normal
688,57700,normal
3471,68800,limited
514,99100,normal
211,75800,normal
843,113600,normal
773,171200,normal
301,49400,normal
1507,319800,normal
3359,142500,normal
1481,690200,limited
1689,113800,normal
3358,155400,normal
1504,252200,normal
210,388000,normal
1458,33100,normal
1893,267200,normal
293,402700,soldout
