id,cr,state
63,58100,normal
3403,49300,normal
173,154500,normal
3438,51900,normal
821,51800,normal
919,29600,normal
3442,31000,normal
1985,83400,normal
1973,23200,normal
135,45800,normal
3453,76400,normal
207,58900,normal
379,50700,normal
24,48900,normal
3377,67800,normal
1448,59800,normal
451,169000,normal
104,89900,normal
41,55000,normal
1542,47300,normal
1378,201300,normal
3434,396800,limited
3439,221700,normal
205,215800,normal
1384,29900,normal
3389,62900,normal
1426,393900,limited
1722,198400,normal
3431,221200,normal
187,82200,normal
