id,cr,state
137,15000,soldout
1461,51200,limited
1778,31900,normal
1796,133800,normal
3422,218400,normal
48,99100,soldout
821,57000,normal
3438,47900,normal
173,146700,normal
1933,24900,normal
104,78600,normal
24,53500,normal
3377,71200,normal
3453,89700,soldout
1448,60700,normal
3344,165700,normal
1370,20500,normal
3341,173000,normal
1542,46800,normal
1895,343200,normal
942,91100,normal
1480,97800,normal
345,99000,normal
396,430100,normal
489,154300,normal
82,180400,normal
1410,290800,normal
1365,137500,normal
1528,493500,normal
1990,817300,soldout
