id,cr,state
1523,15100,normal
3438,51900,soldout
3403,49300,limited
821,51800,soldout
135,45800,limited
3442,31000,soldout
1671,57100,normal
1985,83400,limited
63,58100,limited
1973,23200,soldout
1448,60200,limited
1542,47000,limited
3341,165200,normal
1895,359900,limited
379,57100,soldout
1773,42200,normal
1370,24100,soldout
104,76400,soldout
3344,166900,limited
3385,214300,normal
1578,301900,soldout
1365,145800,limited
396,445400,normal
1410,289300,normal
345,99300,limited
942,90800,limited
1990,772200,soldout
489,157700,normal
82,180100,normal
1480,98900,limited
