id,cr,state,daysremaining
3454,145200,normal,4
3422,203000,new,11
201,28000,normal,7
829,97200,normal,7
1527,12700,new,7
821,49700,normal,6
1044,44500,normal,7
204,49500,limited,2
1796,140000,new,11
779,19900,soldout,1
24,48700,normal,5
1448,60900,normal,7
1542,56700,new,9
379,51000,limited,2
688,58600,new,10
709,62800,new,9
3377,68800,normal,5
533,494700,normal,8
514,97400,normal,7
104,86100,normal,5
1689,115800,normal,4
1893,267400,new,8
1507,309400,limited,3
3358,159200,normal,8
210,396200,normal,8
1504,254300,normal,8
1373,106300,limited,3
3398,792800,normal,8
1539,139000,new,8
1722,194700,new,9
