Category,CarID
S,959
S,1431
S,1458
S,1549
S,1746
S,1773
S,1896
S,1907
S,1987
S,2051
S,2139
S,2141
S,2152
S,2170
S,2173
S,2176
S,3214
S,3220
S,3222
S,3266
S,3295
S,3337
S,3354
S,3367
S,3368
S,3391
S,3401
S,3406
S,3407
S,3408
S,3413
S,3427
S,3467
S,3481
S,3500
S,3504
S,3506
M,205
M,1373
M,1402
M,1433
M,1480
M,1539
M,1545
M,1563
M,1722
M,1770
M,1797
M,1902
M,1905
M,1956
M,2078
M,2131
M,2146
M,2157
M,2158
M,2159
M,2160
M,2161
M,2163
M,2164
M,2166
M,2171
M,2174
M,2175
M,2177
M,2178
M,2182
M,2183
M,2184
M,2185
M,2186
M,2187
M,2188
M,2190
M,2192
M,3183
M,3185
M,3192
M,3209
M,3210
M,3218
M,3219
M,3221
M,3223
M,3224
M,3225
M,3227
M,3228
M,3229
M,3230
M,3231
M,3232
M,3234
M,3235
M,3237
M,3238
M,3239
M,3241
M,3242
M,3245
M,3246
M,3247
M,3248
M,3249
M,3251
M,3252
M,3253
M,3254
M,3256
M,3257
M,3258
M,3259
M,3260
M,3261
M,3262
M,3263
M,3265
M,3268
M,3296
M,3297
M,3298
M,3299
M,3300
M,3301
M,3303
M,3304
M,3305
M,3306
M,3310
M,3311
M,3338
M,3339
M,3340
M,3343
M,3345
M,3346
M,3352
M,3364
M,3390
M,3399
M,3405
M,3409
M,3416
M,3419
M,3423
M,3426
M,3449
M,3469
M,3474
M,3477
M,3480
M,3485
M,3488
M,3501
M,3502
M,3508
L,396
L,1027
L,1040
L,1425
L,1466
L,1474
L,1510
L,1516
L,1528
L,1536
L,1581
L,1646
L,1898
L,1904
L,1965
L,2049
L,2055
L,2076
L,2077
L,2080
L,2087
L,2095
L,2098
L,2099
L,2101
L,2103
L,2106
L,2107
L,2108
L,2109
L,2110
L,2111
L,2112
L,2113
L,2116
L,2117
L,2118
L,2121
L,2122
L,2123
L,2124
L,2127
L,2134
L,2135
L,2142
L,2143
L,2147
L,2156
L,2162
L,2179
L,2180
L,2181
L,3187
L,3188
L,3216
L,3309
L,3312
L,3313
L,3314
L,3315
L,3316
L,3332
L,3333
L,3334
L,3335
L,3342
L,3348
L,3349
L,3350
L,3351
L,3360
L,3371
L,3372
L,3374
L,3394
L,3396
L,3398
L,3402
L,3414
L,3417
L,3433
L,3436
L,3452
L,3459
L,3476
L,3478
L,3479
L,3495
L,3499
