id,cr,state
1523,15100,normal
810,52100,normal
3403,49300,soldout
1385,12000,normal
135,45800,soldout
145,13000,normal
1671,57100,normal
1985,83400,limited
63,58100,soldout
204,48900,normal
1448,60200,soldout
1542,47000,limited
3341,165200,limited
1895,359900,limited
1508,165000,normal
1773,42200,normal
3471,77500,normal
3443,174000,normal
3344,166900,limited
3385,214300,normal
1528,523400,normal
1365,145800,limited
396,445400,normal
1410,289300,normal
345,99300,limited
942,90800,soldout
293,388700,normal
489,157700,normal
82,180100,normal
1480,98900,soldout
