id,cr,state
919,34200,normal
3442,31100,normal
1778,31900,limited
63,48200,normal
1985,87800,normal
135,47300,normal
821,57000,normal
3438,47900,normal
173,146700,limited
1933,24900,limited
104,78600,soldout
3385,219700,normal
1508,179700,normal
3344,165700,limited
3471,68800,normal
1773,46100,limited
1370,20500,limited
3341,173000,normal
1542,46800,limited
1895,343200,limited
942,91100,soldout
1480,97800,soldout
345,99000,soldout
396,430100,limited
489,154300,normal
82,180400,limited
1410,290800,normal
1458,33100,normal
1528,493500,normal
293,402700,normal
