id,cr,state
919,34200,limited
3442,31100,normal
1778,31900,soldout
63,48200,normal
1985,87800,normal
135,47300,normal
821,57000,normal
3438,47900,limited
173,146700,soldout
1933,24900,soldout
3443,169000,normal
3385,219700,normal
1508,179700,normal
3344,165700,soldout
3471,68800,normal
1773,46100,limited
1370,20500,soldout
3341,173000,limited
1542,46800,soldout
1895,343200,limited
1507,319800,normal
3359,142500,normal
1481,690200,normal
396,430100,limited
489,154300,limited
82,180400,limited
1410,290800,limited
1458,33100,normal
1528,493500,limited
293,402700,normal
