id,cr,state
201,27000,normal
810,46800,soldout
1044,45100,normal
137,15900,normal
1461,56800,normal
1527,13300,normal
3422,203800,normal
1796,131000,normal
1778,35100,normal
829,104800,normal
301,39600,normal
203,62200,normal
773,178600,normal
688,58600,soldout
1508,179700,soldout
3344,164600,soldout
211,80100,normal
1027,450400,normal
843,107700,normal
3385,217900,soldout
3398,774000,normal
1373,102900,normal
3359,140100,soldout
1410,302500,soldout
1689,114900,normal
3358,155200,normal
1893,258300,normal
1402,114400,soldout
1504,242500,normal
210,389400,normal
