id,cr,state
919,34200,normal
3442,31100,normal
1778,31900,normal
1796,133800,limited
3422,218400,soldout
135,47300,normal
821,57000,normal
3438,47900,normal
173,146700,normal
1933,24900,normal
104,78600,limited
24,53500,soldout
3377,71200,soldout
3344,165700,normal
1448,60700,limited
1773,46100,normal
1370,20500,normal
3341,173000,normal
1542,46800,normal
1895,343200,normal
942,91100,limited
1480,97800,limited
345,99000,limited
396,430100,normal
489,154300,normal
82,180400,normal
1410,290800,normal
1365,137500,limited
1528,493500,normal
293,402700,normal
