id,cr,state,daysremaining
1985,110000,normal,-1
1542,65000,normal,-1
810,53200,normal,5
1461,56800,new,10
729,37600,normal,5
779,16200,new,9
829,101200,normal,4
3530,171300,normal,4
3513,50800,normal,5
3564,54100,normal,6
1778,31900,normal,10
3442,28200,limited,2
1729,40800,normal,7
211,64800,limited,2
3384,44800,normal,10
3377,61100,new,9
3551,78600,limited,2
374,62800,normal,5
843,105400,normal,6
3385,223300,limited,2
78,58800,normal,5
1895,359300,normal,8
1689,120700,normal,7
1893,267200,normal,9
3404,441300,normal,10
1539,138200,normal,8
1722,185500,normal,6
942,84600,normal,6
3434,365800,normal,6
1402,115300,normal,8
1480,99200,normal,8
1507,320700,limited,2
