id,cr,state
201,27000,limited
1933,24400,normal
173,154500,normal
3438,51900,normal
821,51800,normal
919,29600,normal
3422,203800,limited
1796,131000,limited
1778,35100,limited
829,104800,soldout
301,39600,soldout
203,62200,limited
773,178600,limited
1729,36100,limited
334,89600,normal
374,57100,normal
211,80100,soldout
1027,450400,limited
843,107700,soldout
959,51800,normal
3398,774000,limited
3434,396800,normal
3404,444900,limited
1399,70500,limited
1384,29900,normal
3358,155200,limited
1893,258300,soldout
1539,146400,limited
1504,242500,limited
210,389400,soldout
