id,cr,state
1523,15100,normal
810,52100,normal
1537,20800,normal
1385,12000,normal
3356,40900,normal
145,13000,normal
1671,57100,normal
1985,83400,soldout
48,107900,normal
204,48900,normal
709,53500,normal
1542,47000,soldout
3341,165200,limited
1895,359900,soldout
1508,165000,normal
1773,42200,normal
3471,77500,normal
3443,174000,normal
3344,166900,soldout
3385,214300,normal
1528,523400,normal
1365,145800,soldout
396,445400,limited
1410,289300,normal
345,99300,soldout
1458,36700,normal
293,388700,normal
489,157700,normal
82,180100,normal
1507,323500,normal
