id,cr,state
779,20000,soldout
1527,13300,soldout
137,15900,soldout
1933,24400,normal
1461,56800,soldout
829,104800,limited
201,27000,limited
1044,45100,soldout
3422,203800,limited
1796,131000,limited
1778,35100,normal
334,75700,normal
374,61100,normal
959,41600,normal
3453,83000,normal
203,61700,soldout
1027,442600,limited
451,171600,normal
1542,51600,limited
207,62700,limited
1729,44500,soldout
1399,80700,limited
1378,202000,normal
3389,62100,normal
1539,137900,soldout
1722,185000,normal
3431,225100,limited
1384,26900,limited
3439,215600,normal
3434,367000,soldout
187,69200,normal
