id,cr,state
919,34200,normal
3442,31100,normal
1778,31900,limited
1796,133800,soldout
1985,87800,normal
135,47300,normal
821,57000,normal
3438,47900,normal
173,146700,limited
1933,24900,limited
104,78600,limited
3385,219700,normal
1508,179700,normal
3344,165700,limited
1448,60700,soldout
1773,46100,normal
1370,20500,limited
3341,173000,normal
1542,46800,limited
1895,343200,normal
942,91100,limited
1480,97800,limited
345,99000,limited
396,430100,normal
489,154300,normal
82,180400,normal
1410,290800,normal
1365,137500,soldout
1528,493500,normal
293,402700,normal
