id,cr,state,daysremaining
3442,29200,normal,9
1385,12400,normal,7
204,56700,normal,9
3403,42900,normal,7
1796,143700,normal,4
1044,47700,soldout,1
145,15100,limited,3
1985,79600,normal,6
3356,39300,limited,2
779,19900,new,10
3341,170400,soldout,1
709,51500,normal,6
1448,60600,normal,9
1370,23600,limited,2
24,54000,soldout,1
959,49700,soldout,1
41,53700,normal,8
334,78400,normal,5
207,52600,normal,7
688,61500,normal,6
3431,210300,new,9
1544,358700,normal,7
1426,408700,limited,3
1541,55600,soldout,1
82,184800,normal,4
1373,105200,normal,9
3389,65900,new,10
1399,81700,normal,9
1410,301600,limited,3
396,428500,limited,2
