id,cr,state
919,34200,limited
3442,31100,limited
1973,23300,normal
63,48200,normal
1985,87800,normal
135,47300,normal
821,57000,limited
3438,47900,limited
3403,43700,normal
3454,138400,normal
3443,169000,normal
3385,219700,normal
1508,179700,normal
688,57700,normal
3471,68800,normal
1773,46100,soldout
211,75800,normal
3341,173000,limited
773,171200,normal
1895,343200,soldout
1507,319800,normal
3359,142500,normal
1481,690200,normal
396,430100,soldout
489,154300,limited
82,180400,soldout
1410,290800,limited
1458,33100,normal
1528,493500,limited
293,402700,limited
