id,cr,state
63,58100,limited
3403,49300,limited
1671,57400,normal
3438,51900,soldout
821,51800,soldout
1523,17600,normal
3442,31000,soldout
1985,83400,limited
1973,23200,soldout
135,45800,limited
3453,76400,soldout
207,58900,soldout
379,50700,limited
24,48900,limited
3377,67800,limited
1448,59800,limited
451,169000,soldout
104,89900,limited
3341,165000,normal
1542,47300,normal
1378,201300,normal
1578,286600,normal
345,104300,normal
205,215800,limited
942,79300,normal
3389,62900,limited
1990,828800,normal
1722,198400,limited
3431,221200,soldout
187,82200,limited
