id,cr,state
1537,19300,soldout
204,49300,limited
810,48200,soldout
1385,14500,normal
145,14300,limited
48,99100,normal
1044,51000,normal
1527,13900,normal
829,107900,normal
201,28400,normal
1027,450400,soldout
1729,36100,soldout
334,89600,normal
3453,89700,limited
959,47100,normal
374,50700,normal
451,179700,normal
41,53300,normal
207,57400,normal
379,53800,normal
187,72000,normal
1378,202000,limited
3389,62600,normal
1722,184500,limited
3431,225100,normal
3439,224700,normal
1373,103000,normal
205,217700,normal
1578,289200,normal
1990,817300,normal
