id,cr,state
63,58100,soldout
3356,36200,normal
1671,57400,normal
1523,16000,normal
810,46800,normal
1523,17600,normal
1537,19600,normal
1985,83400,soldout
1385,12000,normal
145,13500,normal
1895,352300,normal
1370,24500,normal
379,50700,soldout
709,52400,normal
533,487300,normal
1448,59800,soldout
1773,45400,normal
104,89900,soldout
3341,165000,normal
1542,47300,limited
1378,201300,limited
1578,286600,normal
345,104300,normal
205,215800,soldout
942,79300,normal
3389,62900,soldout
1990,828800,normal
396,440200,normal
1480,107700,normal
1365,143600,normal
