id,cr,state,daysremaining
3573,30000,normal,-1
1410,350000,limited,-1
1044,43800,normal,4
63,50200,limited,2
1985,94200,normal,7
1527,12500,normal,4
1385,12900,normal,9
3403,43900,normal,7
145,14700,normal,8
1973,23500,soldout,1
821,57000,limited,3
3530,164200,new,10
843,116800,normal,4
78,58100,limited,3
1729,36200,normal,6
3385,216500,limited,2
374,62900,normal,5
379,62700,limited,3
3551,84200,normal,4
211,73400,limited,2
3384,42300,normal,5
1895,330500,normal,6
1507,319400,limited,2
3434,372000,normal,4
942,93900,normal,5
3404,413800,normal,5
1722,198400,limited,3
3570,48700,soldout,1
1402,115000,normal,7
1893,257800,normal,4
1539,142400,limited,3
1689,122100,normal,7
