id,cr,state
779,20000,normal
1671,67000,normal
1523,18800,normal
1973,23300,limited
63,48200,limited
1985,87800,limited
204,46800,normal
1537,18600,normal
3356,39300,normal
3403,43700,limited
3454,138400,normal
3443,169000,limited
3385,219700,limited
1508,179700,limited
688,57700,normal
3384,45000,normal
514,99100,normal
211,75800,normal
843,113600,normal
773,171200,normal
301,49400,normal
1507,319800,limited
3359,142500,normal
1402,113900,normal
1689,113800,normal
3358,155400,normal
1504,252200,normal
210,388000,normal
1458,33100,soldout
1893,267200,normal
3404,437300,normal
