id,cr,state
173,154500,normal
3438,51900,normal
1933,24400,soldout
821,51800,normal
135,45800,normal
3442,31000,normal
919,29600,normal
1985,83400,normal
63,58100,normal
1973,23200,normal
1448,60200,normal
1542,47000,normal
3341,165200,normal
1895,359900,normal
379,57100,normal
3377,63200,normal
1370,24100,normal
104,76400,normal
3344,166900,normal
24,58300,normal
1578,301900,normal
1378,202000,limited
3389,62100,soldout
1373,106600,normal
345,99300,normal
942,90800,normal
1990,772200,normal
3439,215600,limited
205,222700,normal
1480,98900,normal
