id,cr,state,daysremaining
3404,500000,limited,-1
135,45700,normal,9
204,58400,normal,8
3442,33000,normal,7
173,154200,normal,7
1537,20000,limited,2
1933,21100,normal,4
829,100300,normal,10
3530,165200,soldout,1
919,34000,normal,5
3438,48900,normal,7
3453,83100,normal,5
451,170400,normal,6
41,59200,normal,4
334,86100,limited,2
374,60200,limited,2
3341,177300,normal,7
959,44200,normal,5
207,51500,normal,5
3471,70300,new,12
688,54300,normal,8
1481,684200,normal,5
1365,137800,limited,2
942,86500,limited,3
1722,189400,normal,10
345,105900,limited,3
1480,104900,limited,2
1528,499100,normal,6
489,156200,normal,5
3398,776800,normal,11
396,430000,normal,4
