id,cr,state
173,154500,normal
3438,51900,normal
1933,24400,limited
821,51800,normal
135,45800,normal
201,27000,soldout
919,29600,normal
3422,203800,soldout
1796,131000,soldout
1778,35100,limited
334,75700,limited
374,61100,limited
959,41600,limited
3453,83000,limited
379,57100,normal
1027,442600,soldout
451,171600,limited
104,76400,normal
207,62700,soldout
24,58300,normal
1578,301900,normal
1378,202000,normal
3389,62100,limited
1373,106600,normal
1722,185000,limited
3431,225100,soldout
1990,772200,normal
3439,215600,normal
205,222700,normal
187,69200,limited
