id,cr,state,daysremaining
345,120000,normal,-1
931,100000,limited,-1
3432,42000,limited,-1
204,51900,normal,4
1985,87800,new,10
135,49600,normal,6
1933,24900,normal,4
3442,31800,normal,7
173,146700,limited,3
63,51800,new,9
1796,133800,limited,3
3438,47900,normal,5
919,35100,limited,3
3344,162200,normal,4
3443,171600,normal,4
78,57800,new,8
843,113200,new,10
688,61500,limited,2
211,71100,normal,9
3384,49300,limited,3
3471,80600,soldout,1
773,171200,new,10
3385,216500,normal,6
1893,258300,limited,2
3434,373200,limited,2
1378,209800,normal,7
1426,393900,limited,2
1722,200200,limited,2
3524,383900,normal,8
187,82200,normal,8
3404,438500,normal,4
1399,69600,new,9
1384,31300,limited,3
