id,cr,state,daysremaining
3563,61600,normal,-1
1410,350000,limited,-1
829,98900,soldout,1
3454,140400,soldout,1
137,15900,new,9
1671,63500,normal,10
37,50800,soldout,1
48,106400,limited,2
1778,28800,limited,2
3422,209100,normal,5
1461,52100,normal,4
3547,24700,normal,5
1895,333900,normal,4
374,58900,normal,4
3377,63200,limited,3
1027,471500,new,8
3555,129700,normal,8
3471,73400,normal,9
24,46900,normal,9
1508,162400,normal,4
533,499300,limited,2
104,89700,soldout,1
1689,114800,limited,2
3404,438500,normal,4
1402,111800,soldout,1
942,90600,normal,4
1480,99000,soldout,1
1365,137100,limited,3
1506,249200,normal,4
799,66000,normal,8
293,402700,limited,3
3358,155600,limited,3
