id,cr,state,daysremaining
3563,62300,normal,-1
3563,57500,normal,-1
1385,12800,limited,2
3356,39300,normal,5
204,47000,normal,8
1796,132600,limited,2
3438,56700,new,10
3513,53600,limited,2
1933,23900,normal,8
1523,16000,limited,2
3530,164900,normal,5
810,58200,limited,2
1773,37500,normal,5
3466,198100,normal,6
3443,176100,normal,5
211,68900,normal,11
688,67400,limited,2
3341,174800,soldout,1
1448,59800,soldout,1
931,95600,normal,5
3344,165000,normal,5
514,103800,normal,7
1990,790200,new,10
489,155400,normal,6
3424,95000,new,7
396,440400,limited,3
345,99100,new,12
1544,363500,limited,3
1528,492000,normal,8
205,217000,normal,8
3389,72700,soldout,1
1373,106400,normal,4
