id,cr,state
201,27000,limited
1933,24400,limited
173,154500,normal
3438,51900,normal
821,51800,normal
919,29600,normal
3422,203800,soldout
1796,131000,soldout
1778,35100,limited
135,45800,normal
3453,76400,normal
203,62200,soldout
773,178600,soldout
1729,36100,soldout
334,89600,limited
374,57100,limited
451,169000,normal
1027,450400,limited
41,55000,normal
959,51800,limited
3398,774000,soldout
3434,396800,normal
3404,444900,limited
1399,70500,limited
1384,29900,normal
3358,155200,soldout
1426,393900,normal
1539,146400,soldout
1504,242500,soldout
187,82200,normal
