id,cr,state,daysremaining
48,99100,normal,4
1044,43400,limited,3
201,28000,soldout,1
137,17000,normal,6
1796,143900,normal,8
1461,53200,normal,5
1778,29700,limited,3
204,52800,normal,8
1933,21400,normal,9
3422,202500,soldout,1
301,42300,soldout,1
1027,426400,normal,5
3453,72800,normal,8
374,59300,normal,8
1729,37600,normal,4
203,63100,limited,2
959,47300,normal,8
843,108100,soldout,1
334,89900,normal,6
773,174500,soldout,1
1481,695900,normal,5
942,90700,soldout,1
3359,143800,new,10
1410,301300,new,10
1480,102300,limited,3
1528,496600,normal,7
489,159500,normal,7
396,431600,normal,5
345,104900,limited,3
1365,136500,limited,2
