id,cr,state
779,20000,normal
1671,67000,limited
1523,18800,normal
810,52100,normal
1385,12000,normal
145,13000,limited
204,46800,limited
1537,18600,soldout
3356,39300,limited
48,99100,limited
3454,138400,limited
3443,169000,limited
709,51000,normal
533,495100,normal
688,57700,normal
3384,45000,soldout
514,99100,limited
211,75800,normal
843,113600,normal
773,171200,limited
301,49400,limited
1545,315800,soldout
3359,142500,limited
1402,113900,normal
1689,113800,limited
3358,155400,normal
1504,252200,normal
210,388000,normal
3398,777000,normal
1893,267200,limited
3404,437300,normal
